iter	MultiClass
0	0.6528255387
1	0.6162386957
2	0.5829733292
3	0.5526300881
4	0.5248661464
5	0.4993509482
6	0.4758646168
7	0.4541878529
8	0.4342007191
9	0.4156053831
10	0.3983772232
11	0.3823961809
12	0.3674787478
13	0.3535441983
14	0.3405367513
15	0.3284408406
16	0.3170665339
17	0.3064747908
18	0.2964899818
19	0.2871453109
20	0.2783623617
21	0.2701007737
22	0.2623346269
23	0.255042337
24	0.2482154322
25	0.2417921718
26	0.2356846561
27	0.2299285627
28	0.2245079101
29	0.2194330696
30	0.214605209
31	0.2100324037
32	0.2057271634
33	0.2016539699
34	0.197794029
35	0.1941591061
36	0.1907059993
37	0.1874424452
38	0.1843537842
39	0.1814351694
40	0.1786663963
41	0.1760383556
42	0.1735515221
43	0.1711971646
44	0.1689763252
45	0.1668703298
46	0.1648643199
47	0.162969767
48	0.1611760876
49	0.1594690832
50	0.1578474594
51	0.156305106
52	0.1548524247
53	0.1534625453
54	0.1521496012
55	0.1508994992
56	0.1497110554
57	0.1485970527
58	0.1475300772
59	0.1465113164
60	0.1455585238
61	0.1446088019
62	0.1437359884
63	0.1429093537
64	0.1421189797
65	0.1413803942
66	0.1406722852
67	0.139997128
68	0.139348792
69	0.1387500524
70	0.1381631359
71	0.1375879119
72	0.1370604171
73	0.13655807
74	0.136080593
75	0.1356376846
76	0.1355428116
77	0.1351194047
78	0.1347107245
79	0.1343385194
80	0.133977991
81	0.1336230206
82	0.1332975154
83	0.1329808188
84	0.132675936
85	0.1323865854
86	0.1321176491
87	0.1318459593
88	0.1315746832
89	0.1313359915
90	0.1311159425
91	0.1308985016
92	0.1306957572
93	0.1305103092
94	0.1303253188
95	0.1301344972
96	0.1299673889
97	0.1298010704
98	0.1296519074
99	0.1295041859
100	0.1293689605
101	0.1292382156
102	0.129107487
103	0.1289987401
104	0.1288778799
105	0.128769844
106	0.1286569428
107	0.1285562191
108	0.1284639815
109	0.1283554347
110	0.1282600904
111	0.1281803981
112	0.1281017259
113	0.1280272835
114	0.1279476396
115	0.1278788745
116	0.1278173007
117	0.1277543944
118	0.1276984314
119	0.1276847867
120	0.1276286486
121	0.1275736046
122	0.1275233119
123	0.1274758549
124	0.1274262661
125	0.1273807799
126	0.1273372453
127	0.1272918882
128	0.1272526959
129	0.1272177399
130	0.1271864328
131	0.1271534289
132	0.1271180574
133	0.1270873784
134	0.1270611737
135	0.1270312671
136	0.1269986994
137	0.1269659794
138	0.1269397429
139	0.126915059
140	0.1268843036
141	0.1268523485
142	0.1268258796
143	0.126802962
144	0.1267835081
145	0.1267607215
146	0.1267406804
147	0.126709085
148	0.1266902412
149	0.1266738274
150	0.1266538694
151	0.1266377423
152	0.1266218045
153	0.1266010119
154	0.1265845817
155	0.1265724452
156	0.1265494866
157	0.1265395742
158	0.1265301288
159	0.126517825
160	0.1265059889
161	0.1264974101
162	0.1264892795
163	0.1264762396
164	0.1264672551
165	0.126451532
166	0.1264382904
167	0.1264312786
168	0.1264249965
169	0.1264120502
170	0.1264019758
171	0.126396333
172	0.1263906903
173	0.1263827547
174	0.1263773649
175	0.126371618
176	0.1263666037
177	0.1263616535
178	0.1263570076
179	0.1263512606
180	0.1263460106
181	0.1263296488
182	0.1263238693
183	0.1263118932
184	0.1263022338
185	0.1262907827
186	0.1262877195
187	0.1262804384
188	0.1262761848
189	0.1262704815
190	0.126263296
191	0.1262585525
192	0.1262525953
193	0.1262488655
194	0.1262458756
195	0.1262393308
196	0.1262249039
197	0.1262204518
198	0.1262155052
199	0.1262104493
