iter	Passed	Remaining
0	5	1175
1	9	942
2	13	868
3	16	823
4	21	837
5	25	828
6	30	827
7	34	825
8	39	838
9	42	808
10	46	799
11	49	777
12	55	794
13	59	793
14	65	806
15	69	799
16	73	793
17	77	779
18	80	766
19	84	764
20	90	767
21	93	759
22	97	752
23	102	752
24	106	743
25	110	737
26	114	732
27	118	726
28	124	735
29	129	731
30	134	731
31	137	723
32	142	721
33	148	722
34	154	729
35	160	732
36	164	724
37	168	718
38	172	713
39	176	707
40	180	701
41	185	697
42	189	691
43	193	684
44	197	679
45	201	675
46	205	667
47	211	669
48	216	666
49	220	660
50	223	654
51	227	647
52	232	644
53	237	642
54	242	640
55	248	638
56	252	632
57	256	627
58	261	625
59	266	621
60	269	614
61	274	610
62	278	605
63	282	600
64	285	593
65	290	588
66	294	584
67	298	579
68	303	575
69	307	570
70	311	566
71	315	561
72	320	557
73	324	552
74	327	546
75	332	542
76	336	538
77	343	536
78	346	530
79	350	525
80	354	520
81	358	516
82	361	510
83	366	505
84	370	501
85	374	496
86	379	492
87	383	488
88	388	484
89	392	480
90	396	474
91	400	470
92	404	465
93	409	461
94	414	457
95	418	453
96	423	449
97	428	445
98	432	440
99	436	436
100	440	431
101	444	427
102	449	423
103	454	419
104	459	415
105	463	411
106	468	407
107	472	402
108	479	400
109	484	396
110	489	392
111	493	388
112	498	383
113	502	378
114	506	374
115	511	370
116	514	365
117	518	360
118	523	356
119	527	351
120	531	347
121	536	343
122	540	338
123	545	334
124	548	328
125	552	324
126	557	320
127	562	316
128	568	312
129	572	308
130	577	304
131	582	299
132	585	294
133	588	289
134	592	285
135	597	281
136	601	276
137	606	272
138	609	267
139	613	262
140	617	258
141	620	253
142	624	248
143	629	244
144	633	240
145	638	236
146	642	231
147	646	227
148	650	222
149	654	218
150	659	213
151	664	209
152	668	205
153	674	201
154	679	197
155	684	193
156	690	189
157	694	184
158	699	180
159	703	175
160	707	171
161	712	167
162	716	162
163	720	158
164	724	153
165	729	149
166	733	144
167	737	140
168	741	135
169	745	131
170	749	127
171	752	122
172	756	118
173	760	113
174	765	109
175	769	104
176	774	100
177	778	96
178	782	91
179	785	87
180	789	82
181	794	78
182	798	74
183	803	69
184	808	65
185	812	61
186	816	56
187	821	52
188	825	48
189	830	43
190	834	39
191	838	34
192	842	30
193	846	26
194	850	21
195	854	17
196	859	13
197	864	8
198	869	4
199	877	0
